Source,Target,year_of_publication,Weight
"Montagnana, Bartholomaeus",11.88,1487,1
"Montagnana, Bartholomaeus",3171728,1487,1
"Montaldo, Adam de",Mathias Moravus,1480,1
"Mancinus, Dominicus",22 Dec. 1484,1484,1
"Mancinellus, Antonius",after 13 Nov. 1488],1488,1
"Montaldo, Adam de",40.84,1480,1
"Mandeville, Jean de",Printer of the 1483 'Vitas Patrum',1485,1
"Mancinus, Dominicus",[Paris,1488,1
"Montaldo, Adam de",IT,1480,1
"Mandeville, Jean de",Zwolle,1483,1
"Monte, Lambertus de","Conradus Welker, de Bopardia]",1486,1
"Monte, Lambertus de",about 1486],1486,1
"Monte, Petrus de",[Lyons,1480,1
"Montemagno, Bonaccursius de","Petrus de Plasiis, Cremonensis",1480,1
"Montemagno, Bonaccursius de",about 1494],1488,1
"Monte, Petrus de",16 Nov. 1480,1480,1
"Montemagno, Bonaccursius de",9.19,1480,1
"Montemagno, Bonaccursius de",6542283,1480,1
"Munthart, Paulus",Conrad Fyner,1481,1
"Murus, Didacus",after 29 July 1488],1488,1
Mundinus,11.88,1484,1
"Murus, Didacus",12.49,1488,1
"Munthart, Paulus",2818246,1481,1
"Murus, Didacus",3104324,1487,1
"Murus, Didacus",3169071,1488,1
"Naldius, Naldus",Bartolommeo di Libri,1487,1
"Naldius, Naldus",about 1487],1487,1
"Gerson, Johannes",ES,1485,1
"Nawber, Paul",[Bamberg,1487,1
"Nestor, Dionysius",Milan,1483,1
Nellus De Sancto Geminiano,"Laurentius and Franciscus de Cennis, for Bastianus de Orlandis",1486,1
"Nesius, Johannes",Francesco Bonaccorsi,1485,1
"Nesson, Pierre de",Robin Fouquet and Jean Crès,1485,1
Nellus De Sancto Geminiano,15 July 1486,1486,1
"Nepos, Ferdinandus",23 Jan. 148[5],1485,1
"Nesius, Johannes",[after 23 Mar. 1485],1485,1
"Nesson, Pierre de",27 Jan. 1484/85,1485,1
"Nestor, Dionysius",26 June 1488,1488,1
"Nesson, Pierre de",-2.7,1485,1
"Nepos, Ferdinandus",ES,1485,1
"Nesius, Johannes",IT,1485,1
"Gerson, Johannes",2830582,1483,1
"Nesson, Pierre de",3030402,1485,1
"Nawber, Paul",48.76,1487,1
"Nawber, Paul",DE,1487,1
"Niavis, Paulus",not before 1488],1488,1
"Niavis, Paulus",12.37,1488,1
"Niavis, Paulus",48.57,1485,1
"Niavis, Paulus",Leipzig,1485,1
"Niavis, Paulus",[Johann Amerbach],1489,1
"Gerson, Johannes",6453300,1485,1
"Niavis, Paulus",CH,1489,1
"Niavis, Paulus",7285161,1489,1
"Nicolaus, Episcopus Modrusiensis",Padua,1482,1
"Nicolaus, Episcopus Modrusiensis",Matthaeus Cerdonis,1482,1
Nicolaus de Ausmo,9.21,1482,1
Nicolaus de Ausmo,Ulrich Zel],1483,1
Nicolaus de Ausmo,"Georg Stuchs, for Anton Koberger",1488,1
Nicolaus de Ausmo,49.4541666666667,1488,1
Nicolaus de Ausmo,DE,1483,1
Nicolaus de Ausmo,2886242,1483,1
Nicolaus de Ausmo,[Leonardus Wild],1480,1
Nicolaus de Ausmo,Venice,1482,1
Nicolaus de Ausmo,Venice,1485,1
Nicolaus de Ausmo,"Franciscus Renner, de Heilbronn",1482,1
Nicolaus de Ausmo,1483,1483,1
Nicolaus de Ausmo,1 Jan. 1479/80,1480,1
Nicolaus de Ausmo,12.34,1482,1
Nicolaus de Ausmo,12.34,1485,1
Nicolaus de Ausmo,45.43,1482,1
Nicolaus de Ausmo,45.43,1485,1
Nicolaus de Ausmo,IT,1482,1
"Gerson, Johannes",48.21,1482,1
Nicolaus de Ausmo,3164603,1481,1
Nicolaus de Ausmo,3164565,1485,1
Nicolaus de Blony,Michael Wenssler],1486,1
Nicolaus de Blony,[Printer of the 1483 Jordanus de Quedlinburg (Georg Husner)],1487,1
"Gerson, Johannes","Nicolaus Calafat, for Bartholomaeus Caldenten",1485,1
Nicolaus de Blony,21 Oct. 1486,1486,1
Nicolaus de Blony,FR,1488,1
Nicolaus de Cusa,48.58,1488,1
Nicolaus de Hanapis,GB,1481,1
Nicolaus de Lyra,IT,1481,1
Nicolaus de Lyra,Paris,1483,1
Nicolaus de Lyra,Alvisius de Siliprandis,1480,1
Nicolaus de Lyra,30 Mar. 1480,1480,1
Nicolaus de Lyra,5 Nov. 1483,1483,1
Nicolaus de Lyra,4.84,1487,1
"Gerson, Johannes",[about 1483],1483,1
Nicolaus de Lyra,FR,1483,1
Nicolaus de Lyra,6455259,1483,1
Nicolaus de Lyra,Lyons,1488,1
Nicolaus de Lyra,Venice,1488,1
Nicolaus de Lyra,Jean Du Pré (printer of Lyons),1488,1
Nicolaus de Lyra,9 Aug. 1488,1488,1
Nicolaus de Lyra,11.0775,1481,1
Nicolaus de Lyra,DE,1483,1
Nicolaus de Lyra,[Lyons,1484,1
"Gerson, Johannes",before 26 Sept. 1486],1486,1
"Gerson, Johannes",Antoine Caillaut,1486,1
"Nider, Johannes",Paris,1489,1
"Nider, Johannes",1489,1489,1
"Garlandia, Johannes de",51.22,1488,1
"Nider, Johannes",48.86,1489,1
"Gerson, Johannes",[Paris,1486,1
"Nider, Johannes",Basel,1481,1
"Nider, Johannes",[Georg Wolf,1483,1
"Nider, Johannes",[Cologne,1485,1
"Nider, Johannes",about 1489],1483,1
"Nider, Johannes",1481,1481,1
"Nider, Johannes",9 June 1482,1482,1
"Nider, Johannes",2.35,1482,1
"Nider, Johannes",9.19,1487,1
"Nider, Johannes",CH,1481,1
"Nider, Johannes",FR,1482,1
"Nider, Johannes",not before 1483],1483,1
"Nider, Johannes",DE,1485,1
"Nider, Johannes",7285161,1481,1
"Nider, Johannes",6455259,1482,1
"Nider, Johannes",48.86,1483,1
"Nider, Johannes",[Cologne,1482,1
"Nider, Johannes",Printer of the 1483 Jordanus de Quedlinburg (Georg Husner),1483,1
"Nider, Johannes",48.49,1480,1
"Nider, Johannes",DE,1482,1
"Niger, Franciscus",Venice,1488,1
"Niger, Franciscus","Theodorus Herbipolensis, Francus, for Johannes Lucilius Santritter",1480,1
"Niger, Franciscus",5 Feb. 1488,1488,1
"Niger, Franciscus",12.34,1480,1
"Niger, Franciscus",45.43,1480,1
"Niger, Franciscus",51.22,1489,1
"Niger, Franciscus",IT,1480,1
"Niger, Franciscus",2803138,1489,1
"Niger, Franciscus",1484],1484,1
"Niger, Petrus",1481,1481,1
"Gerson, Johannes",[Guy Marchant,1484,1
"Garlandia, Johannes de",2803138,1488,1
"Niger, Franciscus",IT,1484,1
"Garlandia, Johannes de",2907911,1486,1
"Niger, Petrus",3164603,1481,1
"Garlandia, Johannes de",NL,1488,1
"Nogarolus, Leonardus",6541465,1485,1
Nonius Marcellus,"[Printer of Hieronymus, 'Epistolae']",1480,1
Nonius Marcellus,Octavianus Scotus,1483,1
"Nogarolus, Leonardus",31 Jan. 1486,1486,1
Nonius Marcellus,1480,1480,1
Nonius Marcellus,17 July 1483,1483,1
"Nogarolus, Leonardus",45.55,1486,1
Nonius Marcellus,45.43,1483,1
"Nogarolus, Leonardus",IT,1486,1
"Fridericus III, Imperator",DE,1488,1
Oben,Guillaume Le Roy,1480,1
Oben,about 1480?],1480,1
"Garlandia, Johannes de",9.21,1488,1
"Ockam, Guilielmus",[Esslingen],1483,1
"Ockam, Guilielmus",2818246,1483,1
"Ockam, Guilielmus",[Paris,1488,1
"Ockam, Guilielmus",Pierre Le Rouge],1488,1
"Ockam, Guilielmus",4.84,1488,1
"Ockam, Guilielmus",2996944,1488,1
"Odonis, Geraldus","[Boninus de Boninis, de Ragusia]",1482,1
Odofredus Beneventanus,4.84,1480,1
"Odonis, Geraldus",45.54,1482,1
"Offredus, Apollinaris",Antonius de Carcano,1482,1
"Offredus, Apollinaris",9.16,1482,1
Oldradus de Ponte de Laude,4.86666666666667,1481,1
"Offredus, Apollinaris",45.19,1482,1
"Oppizonus, Ambrosius",[Pavia,1489,1
"Orbellis, Nicolaus de",Bologna,1485,1
"Orbellis, Nicolaus de",31 Mar. 1485,1485,1
"Orbellis, Nicolaus de",IT,1485,1
"Orbellis, Nicolaus de",30 Apr. 1482,1482,1
"Orbellis, Nicolaus de",7 Nov. 1489,1489,1
"Orbellis, Nicolaus de",IT,1482,1
Otto von Passau,Martin Schott,1483,1
Otto von Passau,[Strassburg,1483,1
Otto von Passau,Utrecht,1480,1
Otto von Passau,Jacob Bellaert,1484,1
"Otto von Sonnenberg, episcopus Constantiensis",Johann Zainer,1486,1
"Garlandia, Johannes de",4.4,1488,1
"Garlandia, Johannes de",17 July 1488,1488,1
"Garlandia, Johannes de",17 Jan. 1488,1488,1
"Garlandia, Johannes de",11 Jan. 1486,1486,1
Otto von Passau,DE,1483,1
Otto von Passau,52.09,1480,1
Otto von Passau,6557107,1483,1
Otto von Passau,2755002,1484,1
"Garlandia, Johannes de",17 Mar. 1485,1485,1
"Ovidius Naso, Publius",Milan,1481,1
"Ovidius Naso, Publius",[Bologna,1480,1
"Ovidius Naso, Publius",Milan,1486,1
"Ovidius Naso, Publius","Antonius Francisci, Venetus",1488,1
"Ovidius Naso, Publius",[Pinerolo,1480,1
"Ovidius Naso, Publius",29 Oct. 1481,1481,1
"Garlandia, Johannes de",[Christiaen Snellaert],1488,1
"Ovidius Naso, Publius",11.26,1488,1
"Garlandia, Johannes de",Printer of Lindelbach (Heinrich Knoblochtzer?),1486,1
"Ovidius Naso, Publius",9.19,1485,1
"Garlandia, Johannes de",Gerard Leeu,1486,1
"Garlandia, Johannes de",Deventer,1489,1
"Garlandia, Johannes de",Leipzig,1488,1
Fridericus III,6542283,1488,1
"Fridericus III, Imperator",2875601,1488,1
"Friedrich V und Sigmund, Markgrafen zu Brandenburg in Ansbach and Kulmbach",DE,1487,1
"Ovidius Naso, Publius",Venice,1481,1
"Ovidius Naso, Publius",Venice,1486,1
"Ovidius Naso, Publius",Venice,1487,1
"Ovidius Naso, Publius","Thomas de Blavis, de Alexandria",1484,1
"Ovidius Naso, Publius","Antonius de Strata, de Cremona",1486,1
"Ovidius Naso, Publius",9 Jan. 1482,1482,1
"Ovidius Naso, Publius",8 Jan. 1486,1486,1
"Ovidius Naso, Publius",24 Nov. 1487,1487,1
"Ovidius Naso, Publius",24 Jan. 1488,1488,1
"Ovidius Naso, Publius",15.56,1484,1
"Frezzi, Federico",43.11,1481,1
"Ovidius Naso, Publius",38.19,1484,1
"Ovidius Naso, Publius",3181554,1489,1
"Friedrich III der Weise, Kurfürst und Herzog von Sachsen, and Johannes der Beständige, Herzog von Sachsen",51.34,1488,1
"Friedrich V und Sigmund, Markgrafen zu Brandenburg in Ansbach and Kulmbach",11.0775,1487,1
"Ovidius Naso, Publius",3164603,1488,1
Remigius,[Strassburg,1485,1
Remigius,[Leipzig,1486,1
Remigius,[Speyer,1486,1
Remigius,[about 1486-89],1488,1
Remigius,[Strassburg,1488,1
Remigius,Lübeck,1489,1
Remigius,Marx Ayrer,1483,1
Remigius,Friedrich Creussner,1485,1
Remigius,Marcus Brandis,1486,1
Remigius,[Leipzig,1487,1
Remigius,[Reutlingen,1488,1
Remigius,about 1482],1482,1
Remigius,Conrad Kachelofen,1485,1
Fridericus III,Antonius Zarotus,1488,1
Remigius,Johann Otmar,1488,1
Remigius,9.57,1486,1
Remigius,49.89,1483,1
Remigius,48.58,1485,1
Remigius,49.4541666666667,1485,1
Remigius,54.52,1486,1
Remigius,51.34,1486,1
Remigius,48.58,1488,1
Remigius,FR,1485,1
Remigius,51.34,1487,1
Remigius,FR,1488,1
Remigius,51.22,1486,1
Remigius,BE,1486,1
Remigius,6558157,1488,1
Remigius,2973783,1486,1
"Friedrich III der Weise, Kurfürst und Herzog von Sachsen, and Johannes der Beständige, Herzog von Sachsen",Moritz Brandis,1488,1
Rudolphus de Novimagio,after 11 Jan. 1483],1483,1
"Rudolphus de Scherenberg, Episcopus Herbipolensis (Würzburg)",after 10 Sept. 1481],1481,1
"Rudolphus de Scherenberg, Episcopus Herbipolensis (Würzburg)",before 17 Aug. 1482],1482,1
"Rudolphus de Scherenberg, Episcopus Herbipolensis (Würzburg)",after 20 Oct. 1486],1486,1
"Rudolphus de Scherenberg, Episcopus Herbipolensis (Würzburg)",after 14 Dec. 1486],1486,1
"Rudolphus de Scherenberg, Episcopus Herbipolensis (Würzburg)",after 16 Oct. 1485],1485,1
Fridericus III,[Unassigned,1484,1
Fridericus III,[about 1486],1484,1
"Fridericus III, Imperator",[Lübeck,1488,1
"Fridericus III, Imperator",CH,1480,1
"Fridericus I, Barbarossa",51.34,1487,1
Salomon et Marcolphus,[Deventer,1488,1
Salomon et Marcolphus,[Augsburg?,1484,1
Salomon et Marcolphus,[Nuremberg,1486,1
Salomon et Marcolphus,about 1480],1480,1
Salomon et Marcolphus,about 1488],1488,1
Salomon et Marcolphus,before 1487?],1486,1
Salomon et Marcolphus,6.96,1480,1
Salomon et Marcolphus,6.16,1488,1
Salomon et Marcolphus,[Magdeburg,1484,1
Salomon et Marcolphus,11.87,1489,1
Salomon et Marcolphus,50.94,1480,1
Salomon et Marcolphus,50.97,1483,1
Salomon et Marcolphus,NL,1488,1
"Fliscus, Stephanus",49.32,1486,1
"Oresme, Nicolaus",Padua,1486,1
"Oresme, Nicolaus",Matthaeus Cerdonis,1486,1
"Oresme, Nicolaus","25, 12 Sept. 1482",1482,1
"Oresme, Nicolaus",18 Feb. 1486,1486,1
"Oresme, Nicolaus",11.88,1482,1
"Oresme, Nicolaus",45.41,1482,1
Origenes,41.89,1481,1
"Oresme, Nicolaus",3171728,1486,1
Origenes,3169071,1481,1
"Orosius, Paulus",[about 1489],1482,1
"Orosius, Paulus",Venice,1483,1
"Orosius, Paulus",IT,1482,1
Ortolff von Bay(e)rlandt,Augsburg,1482,1
Ortolff von Bay(e)rlandt,Augsburg,1488,1
"Orssoy, Goswinus de",Moritz Brandis,1488,1
Ortolff von Bay(e)rlandt,[Magdeburg,1483,1
Ortolff von Bay(e)rlandt,Anton Sorg,1482,1
Ortolff von Bay(e)rlandt,Anton Sorg,1488,1
Ortolff von Bay(e)rlandt,Matthaeus Brandis,1488,1
"Orssoy, Goswinus de",1488],1488,1
"Orterius, Georgius de Frickenhausen",after 15 Dec. 1489],1489,1
Ortolff von Bay(e)rlandt,Bartholomaeus Ghotan],1483,1
Ortolff von Bay(e)rlandt,9 June 1488,1488,1
"Orterius, Georgius de Frickenhausen",12.37,1489,1
Ortolff von Bay(e)rlandt,53.8688888888889,1488,1
"Orssoy, Goswinus de",DE,1488,1
Ortolff von Bay(e)rlandt,52.13,1483,1
Ortolff von Bay(e)rlandt,DE,1484,1
"Orssoy, Goswinus de",2879139,1488,1
"Orterius, Georgius de Frickenhausen",2879139,1489,1
Ortolff von Bay(e)rlandt,6557107,1482,1
Ortolff von Bay(e)rlandt,6557107,1488,1
Ortolff von Bay(e)rlandt,2875601,1488,1
Ortolff von Bay(e)rlandt,2874545,1483,1
"Fridericus I, Barbarossa",12.37,1487,1
"Ovidius Naso, Publius","Matteo Capcasa (di Codeca), for Lucantonio fiorentino",1489,1
"Fridericus I, Barbarossa",after 12 Aug. 1487],1487,1
"Ovidius Naso, Publius",[1483],1483,1
"Fridericus III, Imperator",Bernhard Richel,1480,1
"Ovidius Naso, Publius",12.34,1489,1
"Frezzi, Federico",Stephanus Arndes,1481,1
"Ovidius Naso, Publius",45.43,1489,1
"Fridericus I, Barbarossa",[Leipzig,1487,1
"Fliscus, Stephanus",2830582,1486,1
"Fliscus, Stephanus",6542283,1488,1
"Fliscus, Stephanus",IT,1483,1
"Ovidius Naso, Publius",24 Dec. 1482,1482,1
"Ovidius Naso, Publius",27 Aug. 1485,1485,1
"Fliscus, Stephanus",40.84,1483,1
"Ovidius Naso, Publius",6542283,1489,1
"Ovidius Naso, Publius",Parma,1480,1
"Ovidius Naso, Publius",[J. Gossin],1484,1
"Ovidius Naso, Publius",10.33,1480,1
"Ovidius Naso, Publius",44.81,1480,1
"Quintilianus, Marcus Fabius (Pseudo-)",Venice,1481,1
"Quintilianus, Marcus Fabius (Pseudo-)",[Treviso,1482,1
"Quintilianus, Marcus Fabius (Pseudo-)",5 June 1482,1482,1
"Quintilianus, Marcus Fabius (Pseudo-)",1482],1482,1
"Quintilianus, Marcus Fabius (Pseudo-)",12.34,1482,1
"Quintilianus, Marcus Fabius (Pseudo-)",12.24,1482,1
"Quintilianus, Marcus Fabius",12.24,1482,1
"Quintilianus, Marcus Fabius",about 1480],1480,1
"Quintilianus, Marcus Fabius",45.67,1482,1
"Quintilianus, Marcus Fabius",IT,1480,1
"Radulphis, Riccardus de, Archiepiscopus Armachanus",Antoine Caillaut,1485,1
"Radulphis, Riccardus de, Archiepiscopus Armachanus",1.1,1485,1
"Radulphis, Riccardus de, Archiepiscopus Armachanus",2.35,1485,1
"Radulphis, Riccardus de, Archiepiscopus Armachanus",49.44,1485,1
"Radulphis, Riccardus de, Archiepiscopus Armachanus",45.76,1487,1
"Radulphis, Riccardus de, Archiepiscopus Armachanus",FR,1487,1
"Radulphis, Riccardus de, Archiepiscopus Armachanus",2996944,1488,1
Rainerius de Pisis,12 Sept. 1486,1486,1
Rainerius de Pisis,IT,1486,1
"Rampigollis, Antonius and Bindo de Senis",Nuremberg,1481,1
"Rampigollis, Antonius and Bindo de Senis",1481,1481,1
"Ramus, Bartholomaeus","[Johannes Schriber, de Annunciata and Henricus de Colonia]",1482,1
"Ratdolt, Erhard",[Venice,1484,1
"Ratdolt, Erhard",Augsburg,1486,1
"Ratdolt, Erhard",[after 1 Apr. 1486],1486,1
"Ramus, Bartholomaeus",12 May 1482,1482,1
"Rees, Hermann, O.Cist.",[Deventer,1488,1
"Rees, Hermann, O.Cist.",before 11 June 1488],1488,1
Raymundus de Sabunde,4.84,1488,1
"Rees, Hermann, O.Cist.",2756987,1488,1
Raymundus de Sabunde,2996944,1488,1
"Refrigerio, Giovanni Battista",[Venice,1487,1
"Refrigerio, Giovanni Battista","Bernardinus Rizus, Novariensis",1487,1
"Refrigerio, Giovanni Battista",not before Oct. 1487],1487,1
"Reger, Johann",49.4541666666667,1486,1
"Regiomontanus, Johannes (Müller, Johann, of Königsberg)",Venice,1482,1
"Regiomontanus, Johannes (Müller, Johann, of Königsberg)",Venice,1485,1
"Regiomontanus, Johannes (Müller, Johann, of Königsberg)",15 Oct. 1485,1485,1
"Regiomontanus, Johannes (Müller, Johann, of Königsberg)",21 Mar. 1489,1489,1
"Regiomontanus, Johannes (Müller, Johann, of Königsberg)",12.34,1483,1
"Regiomontanus, Johannes (Müller, Johann, of Königsberg)",IT,1483,1
"Fliscus, Stephanus",7.75,1480,1
"Fliscus, Stephanus",48.58,1487,1
"Regiomontanus, Johannes (Müller, Johann, of Königsberg)",Augsburg,1488,1
"Regiomontanus, Johannes (Müller, Johann, of Königsberg)",Erhard Ratdolt,1484,1
"Regiomontanus, Johannes (Müller, Johann, of Königsberg)",1489,1489,1
"Regiomontanus, Johannes (Müller, Johann, of Königsberg)",45.43,1481,1
"Regiomontanus, Johannes (Müller, Johann, of Königsberg)",3164603,1481,1
"Regius, Raphael",Matthaeus Cerdonis,1483,1
"Regiomontanus, Johannes (Müller, Johann, of Königsberg)",about 1488],1488,1
"Regius, Raphael",45.41,1483,1
"Regius, Raphael",IT,1483,1
"Regnierus, Helias",Poitiers,1483,1
"Regnierus, Helias",[Johannes Siber],1488,1
"Regnierus, Helias",[Strassburg,1488,1
"Regnierus, Helias",0.34,1483,1
"Regnierus, Helias",46.58,1483,1
"Regnierus, Helias",48.58,1488,1
"Regnierus, Helias",45.76,1488,1
"Regnierus, Helias",6445329,1483,1
"Regnierus, Helias",2973783,1488,1
"Regnierus, Helias",2996944,1488,1
"Reinhard (von Sickingen), Bischof von Worms",Johann Prüss,1482,1
"Reinhard (von Sickingen), Bischof von Worms",Apr. 1482],1482,1
Remigius,13 Aug. 1486,1486,1
"Reinhard (von Sickingen), Bischof von Worms",48.58,1482,1
Remigius,51.9622222222222,1486,1
Reinaert,GB,1489,1
Reinaert,2634341,1489,1
Remigius,2867543,1486,1
"Retza, Franciscus de",[Speyer,1484,1
"Retza, Franciscus de",Johann and Conrad Hist,1484,1
"Retza, Franciscus de",about 1484],1484,1
"Reuchlin, Johannes",1480,1480,1
"Retza, Franciscus de",8.43,1484,1
"Retza, Franciscus de",49.32,1484,1
"Reuchlin, Johannes",CH,1480,1
"Retza, Franciscus de",2830582,1484,1
"Reuchlin, Johannes",Basel,1482,1
"Reuchlin, Johannes",Strassburg,1488,1
"Fliscus, Stephanus",Naples,1483,1
"Reuchlin, Johannes",7.59,1482,1
"Reuchlin, Johannes",7.75,1488,1
"Reuchlin, Johannes",48.49,1483,1
"Reuchlin, Johannes",DE,1486,1
"Reuchlin, Johannes",DE,1487,1
"Reuchlin, Johannes",FR,1487,1
"Reuchlin, Johannes",7285161,1482,1
"Reuchlin, Johannes",2996944,1482,1
"Rhasis, Mohammed",[Rome,1485,1
"Rhasis, Mohammed",Leonardus Achates de Basilea?,1480,1
"Rhasis, Mohammed",Andreas Freitag,1487,1
"Rhasis, Mohammed",Leonardus Pachel and Uldericus Scinzenzeler,1481,1
"Rhasis, Mohammed",about 1480],1480,1
"Rhasis, Mohammed",14.25,1486,1
"Riccius, Jacobus",Venice,1488,1
"Rhasis, Mohammed",Jacobus Britannicus,1486,1
"Riccius, Facinus",Printer of Riccius (IGI 8354),1480,1
"Rhasis, Mohammed",45.54,1486,1
"Rhasis, Mohammed",45.43,1483,1
"Rhasis, Mohammed",IT,1483,1
"Riccius, Jacobus",IT,1481,1
"Rhasis, Mohammed",3181554,1486,1
"Rhasis, Mohammed",3164603,1483,1
Richardus de Bury,Johann and Conrad Hist,1483,1
"Richental, Ulrich (von)",2 Sept. 1483,1483,1
Richardus de Bury,DE,1483,1
"Richental, Ulrich (von)",6557107,1483,1
"Rivo, Radulphus de",[before Oct.] 1485,1485,1
Rinaldo,14.25,1480,1
Rinaldo,40.84,1480,1
"Fliscus, Stephanus",52.51,1480,1
"Fliscus, Stephanus",9.19,1481,1
"Rochus, S",Nuremberg,1484,1
"Fliscus, Stephanus",about 1486],1486,1
"Fliscus, Stephanus","[Petrus de Corneno], for Augustinus Maria Conagus",1481,1
Robertus de Sancto Remigio,DE,1482,1
"Rochus, S",49.4541666666667,1484,1
"Rochus, S",DE,1484,1
"Fliscus, Stephanus",Simon Magniagus,1480,1
Rodericus Zamorensis,[Lyons],1482,1
"Rodulphis, Laurentius de",Pescia,1489,1
Rodericus Zamorensis,[Petrus Metlinger],1488,1
Rodericus Zamorensis,Peter Berger,1488,1
"Fliscus, Stephanus",Johann Prüss,1487,1
Rolandinus de Passageriis,21 Apr. 1485,1485,1
"Fliscus, Stephanus",[Richardus Pafraet,1485,1
Rolandinus de Passageriis,11.54,1485,1
Rolandinus de Passageriis,45.55,1485,1
Rodericus Zamorensis,FR,1488,1
Rodericus Zamorensis,FR,1482,1
"Rodulphis, Laurentius de",IT,1489,1
Rolandinus de Passageriis,Milan,1486,1
Rolandinus de Passageriis,Johannes Hamman,1489,1
Rolandinus de Passageriis,[Baptista de Tortis],1489,1
Rolandinus de Passageriis,1 Feb. 1480,1480,1
Rolandinus de Passageriis,12.34,1485,1
Rolandinus de Passageriis,42.66,1480,1
Rolandinus de Passageriis,45.46,1486,1
"Ficinus, Marsilius",3176959,1489,1
Rolandinus de Passageriis,IT,1483,1
Rolandinus de Passageriis,3173331,1489,1
Rolandinus de Passageriis,3165357,1480,1
Rolandinus de Passageriis,6542283,1486,1
"Rolewinck, Werner",Erhard Ratdolt,1480,1
"Rolewinck, Werner",45.43,1480,1
"Rolewinck, Werner",IT,1480,1
"Rolewinck, Werner",21 Dec. 1481,1481,1
"Rolewinck, Werner",1482,1482,1
"Rolewinck, Werner",6.96,1480,1
"Rolewinck, Werner",12.34,1481,1
"Rolewinck, Werner",7.59,1482,1
"Rolewinck, Werner",37.38,1480,1
"Fliscus, Stephanus",Zwolle,1480,1
"Rolewinck, Werner",47.48,1481,1
"Rolewinck, Werner",47.98,1482,1
"Rolewinck, Werner",DE,1480,1
"Rolewinck, Werner",FR,1481,1
"Rolewinck, Werner",3164603,1481,1
"Rolewinck, Werner",6453864,1481,1
"Rolewinck, Werner",[Strassburg,1483,1
"Rolewinck, Werner",Erhard Ratdolt,1484,1
"Rolewinck, Werner",28 May 1484,1484,1
"Rolewinck, Werner",8,1486,1
"Rolewinck, Werner",not after 1483],1483,1
"Rolewinck, Werner",45.43,1484,1
"Rolewinck, Werner",IT,1484,1
"Rolewinck, Werner",FR,1487,1
"Rolewinck, Werner",2886242,1483,1
"Rolewinck, Werner",Utrecht,1480,1
"Rolewinck, Werner",5.11,1480,1
"Rolewinck, Werner",NL,1480,1
"Rolewinck, Werner",Lyons,1483,1
"Rolewinck, Werner",1483 [before 30 Aug.],1483,1
"Rolewinck, Werner",CH,1481,1
"Rolewinck, Werner",2879139,1485,1
"Rolewinck, Werner",Bartholomaeus de Unkel,1481,1
"Rosellis, Antonius de",Stephan Plannck,1488,1
"Rosellis, Antonius de",23 June 1487,1487,1
"Rosellis, Antonius de",12.34,1487,1
"Rosellis, Antonius de",45.43,1487,1
"Rosellis, Antonius de",41.89,1488,1
"Rosenblüt, Hans",49.4541666666667,1488,1
"Rosenblüt, Hans",DE,1488,1
"Rosellis, Antonius de",3164603,1487,1
"Rosenhaym, Petrus de",[Bologna,1489,1
Rovenza dal Martello,12.34,1482,1
"Rusius, Laurentius",[Speyer,1489,1
"Rupe, Alanus de",[Lübeck,1480,1
"Rupertus, Abbas Tuiciensis",Anton Sorg,1487,1
"Rusius, Laurentius",Johann and Conrad Hist,1489,1
"Ruprecht, Pfalzgraf bei Rhein, Erzbischof von Köln (Cologne)",about 1480],1480,1
"Rupertus, Abbas Tuiciensis",10.89,1487,1
"Ruprecht, Pfalzgraf bei Rhein, Erzbischof von Köln (Cologne)",6.96,1480,1
"Rupertus, Abbas Tuiciensis",48.37,1487,1
"Rupe, Alanus de",52.09,1480,1
"Rusius, Laurentius",DE,1489,1
"Rupe, Alanus de",NL,1480,1
"Ruprecht, Pfalzgraf bei Rhein, Erzbischof von Köln (Cologne)",2886242,1480,1
"Rusius, Laurentius",2830582,1489,1
"Sacchus, Cato",[Milan,1480,1
"Sabellicus, Marcus Antonius",19 Jan. 1488/89,1489,1
Saladinus de Asculo,12 Mar. 1488,1488,1
"Salazar, Luis de",about 1487],1487,1
"Sabellicus, Marcus Antonius",12.34,1489,1
"Salazar, Luis de",-1.13,1487,1
"Sabellicus, Marcus Antonius",IT,1489,1
"Salazar, Luis de",ES,1487,1
"Salguis, Raymundus de",[Cologne,1482,1
"Saliceto, Bartholomaeus de",Venice,1483,1
"Saliceto, Bartholomaeus de",[Lyons,1483,1
"Saliceto, Bartholomaeus de",1483,1483,1
"Saliceto, Guilelmus de",19 Dec. 1486,1486,1
"Saliceto, Bartholomaeus de",4.84,1483,1
"Saliceto, Guilelmus de",3181554,1486,1
"Saliceto, Guilelmus de","[Johannes and Gregorius de Gregoriis, de Forlivio]",1489,1
"Salicetus, Nicolaus",Johann (Reinhard) Grüninger,1489,1
"Saliceto, Guilelmus de",[Marinus Saracenus],1489,1
"Saliceto, Guilelmus de",12.34,1489,1
"Saliceto, Guilelmus de",45.43,1489,1
"Salicetus, Nicolaus",FR,1489,1
"Salis, Baptista de (Trovamala)",Anton Koberger,1488,1
"Salis, Baptista de (Trovamala)",[Peter Drach,1488,1
"Salis, Baptista de (Trovamala)",14 Apr. 1488,1488,1
"Salis, Baptista de (Trovamala)",49.4541666666667,1488,1
"Ficinus, Marsilius",IT,1482,1
"Salis, Baptista de (Trovamala)",3171366,1489,1
"Salimbeni, Angelo Michele",6542283,1488,1
