Source,Target,year_of_publication,Weight
Justinianus,IT,1482,8
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",47.56,1480,8
"Peraudi, Raimundus, commissary",11.0775,1489,8
"Peraudi, Raimundus, commissary",53.8688888888889,1489,8
"Peraudi, Raimundus, commissary",2861650,1489,8
"Tartagnus, Alexander",Paganinus de Paganinis,1488,8
"Emericus de Kemel, Commissary",DE,1482,8
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",[Basel,1480,8
"Cicero, Marcus Tullius",IT,1482,8
"Peraudi, Raimundus, commissary",2875601,1489,8
"Johannes de Cardona, commissary",DE,1480,8
"Cicero, Marcus Tullius",3164603,1480,8
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",IT,1480,8
Bartolus de Saxoferrato,IT,1480,7
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",6558157,1481,7
Alexander de Villa Dei,NL,1488,7
"Tartagnus, Alexander",IT,1481,7
"Perottus, Nicolaus",IT,1485,7
Paulus de Castro,IT,1488,7
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",[Reutlingen,1481,7
"Cicero, Marcus Tullius",Venice,1480,7
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",9.21,1481,7
Bartolus de Saxoferrato,IT,1488,7
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",48.49,1481,7
"Cicero, Marcus Tullius",IT,1485,7
"Lucas de Tollentis, Episcopus Sibinicensis",DE,1480,7
"Perottus, Nicolaus",IT,1483,7
"Vergilius Maro, Publius",IT,1482,7
Paulus de Castro,IT,1483,7
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",DE,1486,7
Thomas Aquinas,IT,1488,7
Alexander de Villa Dei,DE,1489,7
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",Eucharius Silber,1487,7
"Kendale, John, Commissary",GB,1480,7
"Rudolphus de Scherenberg, Episcopus Herbipolensis (Würzburg)",49.7938888888889,1481,6
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",41.89,1480,6
"Ovidius Naso, Publius",IT,1482,6
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",[Toledo,1484,6
"Peraudi, Raimundus, commissary",Albrecht Kunne,1489,6
Bartolus de Saxoferrato,Venice,1488,6
Bartolus de Saxoferrato,3164603,1488,6
Alexander de Villa Dei,IT,1481,6
"Augustinus, Aurelius",DE,1482,6
Maximilian I,DE,1488,6
"Rudolphus de Scherenberg, Episcopus Herbipolensis (Würzburg)",[Würzburg,1481,6
"Pereriis, Guillermus de",after 26 Aug. 1484],1484,6
Bartolus de Saxoferrato,45.43,1488,6
Thomas Aquinas,IT,1486,6
Guarinus Veronensis,IT,1480,6
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",12.49,1480,6
Bartolus de Saxoferrato,12.34,1488,6
"Rudolphus de Scherenberg, Episcopus Herbipolensis (Würzburg)",2805615,1481,6
"Rudolphus de Scherenberg, Episcopus Herbipolensis (Würzburg)",DE,1481,6
"Augustinus, Aurelius",50.94,1482,6
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",3169071,1480,6
"Garlandia, Johannes de",DE,1487,6
"Cicero, Marcus Tullius",IT,1488,6
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",[Rome,1480,6
"Ovidius Naso, Publius",about 1480],1480,6
"Augustinus, Aurelius",2886242,1482,6
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",IT,1484,6
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",41.89,1484,6
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",12.49,1484,6
"Donatus, Aelius",DE,1485,6
Guido de Monte Rochen,FR,1488,6
Andreas de Escobar,about 1485],1485,6
Justinianus,IT,1484,6
"Camerino, Bartholomaeus de, Commissary",DE,1484,6
"Augustinus, Aurelius",6.96,1482,6
"Augustinus, Aurelius",[Cologne,1482,6
"Versoris, Johannes",1489,1489,6
Jacobus de Voragine,DE,1482,6
"Peraudi, Raimundus, commissary",3220886,1489,6
"Donatus, Aelius",about 1485],1485,6
"Peraudi, Raimundus, commissary",47.98,1489,6
"Bonaventura, S",about 1485],1485,6
"Rudolphus de Scherenberg, Episcopus Herbipolensis (Würzburg)",9.95111111111111,1481,6
"Rudolphus de Scherenberg, Episcopus Herbipolensis (Würzburg)",Georg Reyser,1481,6
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",IT,1488,6
"Peraudi, Raimundus, commissary",10.18,1489,6
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",3169071,1484,6
"Peraudi, Raimundus, commissary",[Memmingen,1489,6
Andreas de Escobar,41.89,1485,5
Bartolus de Saxoferrato,Milan,1484,5
"Pereriis, Guillermus de",IT,1484,5
Justinianus,9.19,1482,5
"Pereriis, Guillermus de",41.89,1484,5
Alexander de Villa Dei,Deventer,1488,5
Justinianus,45.43,1484,5
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",BE,1480,5
"Cato, Dionysius",about 1485],1485,5
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",Juan Vázquez,1484,5
"Versoris, Johannes",FR,1489,5
Bartolus de Saxoferrato,Venice,1485,5
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",2861650,1480,5
"Marsus, Petrus",IT,1484,5
Paulus de Castro,6542283,1488,5
"Werdenberg, Rudolfus, Graf von, commissary",DE,1480,5
Justinianus,3164603,1485,5
Bartolus de Saxoferrato,IT,1484,5
Bartolus de Saxoferrato,6542283,1484,5
Maximilian I,2973783,1486,5
"Ovidius Naso, Publius",3164603,1482,5
Bartolus de Saxoferrato,3164603,1485,5
Guido de Monte Rochen,FR,1483,5
Maximilian I,[Strassburg,1486,5
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",2886242,1487,5
"Tartagnus, Alexander",9.19,1489,5
"Tartagnus, Alexander",6542283,1489,5
"Gerson, Johannes",[Cologne,1480,5
"Boccaccio, Giovanni",IT,1481,5
"Pereriis, Guillermus de",3169071,1484,5
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",49.4541666666667,1480,5
"Pius II, Pont. Max. (formerly Aeneas Sylvius Piccolomini)",about 1480],1480,5
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",about 1485],1485,5
Justinianus,45.43,1485,5
Guillermus,FR,1483,5
"Marsus, Petrus",3169071,1484,5
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",DE,1485,5
Justinianus,IT,1489,5
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",50.94,1487,5
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",11.0775,1480,5
"Donatus, Aelius",DE,1481,5
Justinianus,12.34,1489,5
Justinianus,3164603,1484,5
Andreas de Escobar,[Rome,1485,5
Justinianus,IT,1483,5
"Bonaventura, S",9.19,1480,5
Justinianus,Venice,1484,5
Andreas de Escobar,IT,1485,5
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",Johannes Schoemberger,1485,5
Bartolus de Saxoferrato,45.43,1485,5
"Tartagnus, Alexander",IT,1483,5
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",about 1480],1480,5
"Pereriis, Guillermus de",[Rome,1484,5
"Cicero, Marcus Tullius",6542283,1480,5
"Cicero, Marcus Tullius",Filippo di Pietro,1480,5
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",[Nuremberg,1480,5
Alexander de Villa Dei,6.16,1488,5
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",DE,1483,5
Alexander de Villa Dei,2756987,1488,5
"Gerson, Johannes",2886242,1480,5
"Gerson, Johannes",DE,1480,5
"Marsus, Petrus",[Rome,1484,5
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",3169071,1481,5
"Gerson, Johannes",about 1480],1480,5
